%time,field.header.seq,field.header.stamp,field.header.frame_id,field.positioning_dim,field.latitude,field.longitude,field.height,field.latitude_error,field.longitude_error,field.height_error,field.gps_connection_status,field.antena_status_open,field.antena_status_short
1634523369245432320,6910,1634523369245183952,gps_m2/gps,3,35.023803,137.1517083,40.9679985046,0.620477259159,0.554877579212,1.29979372025,2,1,1
1634523370245459737,6911,1634523370245367872,gps_m2/gps,3,35.0239466,137.1519402,41.0839996338,0.616896808147,0.551944434643,1.29371595383,2,1,1
1634523371245978072,6912,1634523371245819972,gps_m2/gps,3,35.0240904,137.152174,41.2680015564,0.613686561584,0.549212753773,1.28762602806,2,1,1
1634523372244695925,6913,1634523372244576566,gps_m2/gps,3,35.0242348,137.1524085,41.4930000305,0.610447525978,0.546428501606,1.28178834915,2,1,1
1634523373244572307,6914,1634523373244250864,gps_m2/gps,3,35.0243803,137.1526433,41.736000061,0.607060432434,0.543820679188,1.27629554272,2,1,1
1634523374246825395,6915,1634523374244396341,gps_m2/gps,3,35.0245267,137.1528786,42.0009994507,0.604080736637,0.541511952877,1.27132534981,2,1,1
1634523375245275271,6916,1634523375245151677,gps_m2/gps,3,35.0246743,137.1531141,42.3310012817,0.601343810558,0.539438486099,1.26715934277,2,1,1
1634523376244919698,6917,1634523376244775328,gps_m2/gps,3,35.0248236,137.1533491,42.6710014343,0.598726332188,0.537427902222,1.26350390911,2,1,1
1634523377245788744,6918,1634523377244396500,gps_m2/gps,3,35.0249739,137.1535833,43.03099823,0.596315741539,0.535138368607,1.25903522968,2,1,1
1634523378244287548,6919,1634523378244176102,gps_m2/gps,3,35.0251244,137.1538172,43.3530006409,0.594504594803,0.533277094364,1.25625145435,2,1,1
1634523379244478563,6920,1634523379244341426,gps_m2/gps,3,35.0252746,137.1540516,43.7159996033,0.592466652393,0.531580209732,1.25263881683,2,1,1
1634523380244942497,6921,1634523380244813515,gps_m2/gps,3,35.0254246,137.1542865,44.09400177,0.590612530708,0.529920876026,1.2496240139,2,1,1
1634523381244465702,6922,1634523381244330380,gps_m2/gps,3,35.025575,137.1545216,44.4780006409,0.588787555695,0.52827835083,1.24625754356,2,1,1
1634523382246935076,6923,1634523382246833846,gps_m2/gps,3,35.0257258,137.1547574,44.7919998169,0.58720189333,0.526875257492,1.24453163147,2,1,1
